,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,2ndFlrSF,GrLivArea,FullBath,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
0,65.0,7,2003,2003,196.0,706,856,854,1710,2,0,548,0,61,208500
1,80.0,6,1976,1976,0.0,978,1262,0,1262,2,1,460,298,0,181500
2,68.0,7,2001,2002,162.0,486,920,866,1786,2,1,608,0,42,223500
3,60.0,7,1915,1970,0.0,216,756,756,1717,1,1,642,0,35,140000
4,84.0,8,2000,2000,350.0,655,1145,1053,2198,2,1,836,192,84,250000
5,85.0,5,1993,1995,0.0,732,796,566,1362,1,0,480,40,30,143000
6,75.0,8,2004,2005,186.0,1369,1686,0,1694,2,1,636,255,57,307000
7,0.0,7,1973,1973,240.0,859,1107,983,2090,2,2,484,235,204,200000
8,51.0,7,1931,1950,0.0,0,952,752,1774,2,2,468,90,0,129900
9,50.0,5,1939,1950,0.0,851,991,0,1077,1,2,205,0,4,118000
10,70.0,5,1965,1965,0.0,906,1040,0,1040,1,0,384,0,0,129500
11,85.0,9,2005,2006,286.0,998,1175,1142,2324,3,2,736,147,21,345000
12,0.0,5,1962,1962,0.0,737,912,0,912,1,0,352,140,0,144000
13,91.0,7,2006,2007,306.0,0,1494,0,1494,2,1,840,160,33,279500
14,0.0,6,1960,1960,212.0,733,1253,0,1253,1,1,352,0,213,157000
15,51.0,7,1929,2001,0.0,0,832,0,854,1,0,576,48,112,132000
16,0.0,6,1970,1970,180.0,578,1004,0,1004,1,1,480,0,0,149000
17,72.0,4,1967,1967,0.0,0,0,0,1296,2,0,516,0,0,90000
18,66.0,5,2004,2004,0.0,646,1114,0,1114,1,0,576,0,102,159000
19,70.0,5,1958,1965,0.0,504,1029,0,1339,1,0,294,0,0,139000
20,101.0,8,2005,2006,380.0,0,1158,1218,2376,3,1,853,240,154,325300
21,57.0,7,1930,1950,0.0,0,637,0,1108,1,1,280,0,0,139400
22,75.0,8,2002,2002,281.0,0,1777,0,1795,2,1,534,171,159,230000
23,44.0,5,1976,1976,0.0,840,1040,0,1060,1,1,572,100,110,129900
24,0.0,5,1968,2001,0.0,188,1060,0,1060,1,1,270,406,90,154000
25,110.0,8,2007,2007,640.0,0,1566,0,1600,2,1,890,0,56,256300
26,60.0,5,1951,2000,0.0,234,900,0,900,1,0,576,222,32,134800
27,98.0,8,2007,2008,200.0,1218,1704,0,1704,2,1,772,0,50,306000
28,47.0,5,1957,1997,0.0,1277,1484,0,1600,1,2,319,288,258,207500
29,60.0,4,1927,1950,0.0,0,520,0,520,1,0,240,49,0,68500
30,50.0,4,1920,1950,0.0,0,649,668,1317,1,0,250,0,54,40000
31,0.0,5,1966,2006,0.0,0,1228,0,1228,1,0,271,0,65,149350
32,85.0,8,2007,2007,0.0,0,1234,0,1234,2,0,484,0,30,179900
33,70.0,5,1959,1959,0.0,1018,1398,0,1700,1,1,447,0,38,165500
34,60.0,9,2005,2005,246.0,1153,1561,0,1561,2,1,556,203,47,277500
35,108.0,8,2004,2005,132.0,0,1117,1320,2452,3,1,691,113,32,309000
36,112.0,5,1994,1995,0.0,0,1097,0,1097,1,0,672,392,64,145000
37,74.0,5,1954,1990,650.0,1213,1297,0,1297,1,1,498,0,0,153000
38,68.0,5,1953,2007,0.0,731,1057,0,1057,1,0,246,0,52,109000
39,65.0,4,1955,1955,0.0,0,0,0,1152,2,0,0,0,0,82000
40,84.0,6,1965,1965,101.0,643,1088,0,1324,2,1,440,0,138,160000
41,115.0,5,1959,1959,0.0,967,1350,0,1328,1,2,308,0,104,170000
42,0.0,5,1983,1983,0.0,747,840,0,884,1,0,504,240,0,144000
43,0.0,5,1975,1980,0.0,280,938,0,938,1,0,308,145,0,130250
44,70.0,5,1959,1959,0.0,179,1150,0,1150,1,0,300,0,0,141000
45,61.0,9,2005,2005,412.0,456,1752,0,1752,2,1,576,196,82,319900
46,48.0,7,2003,2003,0.0,1351,1434,631,2149,1,1,670,168,43,239686
47,84.0,8,2006,2006,0.0,24,1656,0,1656,2,0,826,0,146,249700
48,33.0,4,1920,2008,0.0,0,736,716,1452,2,0,0,0,0,113000
49,66.0,5,1966,1966,0.0,763,955,0,955,1,0,386,0,0,127000
50,0.0,6,1997,1997,0.0,182,794,676,1470,2,0,388,0,75,177000
51,52.0,6,1934,1950,0.0,0,816,0,1176,1,1,528,112,0,114500
52,110.0,5,1963,1963,0.0,104,816,0,816,1,0,516,106,0,110000
53,68.0,9,1981,1987,0.0,1810,1842,0,1842,0,1,894,857,72,385000
54,60.0,5,1955,1955,0.0,384,384,0,1360,1,1,572,0,50,130000
55,100.0,6,1964,1964,272.0,490,1425,0,1425,2,1,576,0,0,180500
56,24.0,8,1999,2000,456.0,649,970,756,1739,2,0,480,115,0,172500
57,89.0,7,2004,2004,0.0,0,860,860,1720,2,0,565,0,70,196500
58,66.0,10,2006,2006,1031.0,0,1410,1519,2945,3,1,641,192,0,438780
59,60.0,5,1972,1972,0.0,632,780,0,780,1,0,352,196,0,124900
60,63.0,6,2004,2004,0.0,941,1158,0,1158,1,0,576,0,50,158000
61,60.0,5,1920,1996,0.0,0,530,530,1111,1,0,288,0,0,101000
62,44.0,8,2006,2006,178.0,24,1370,0,1370,2,1,484,120,49,202500
63,50.0,7,1921,1950,0.0,0,576,808,1710,2,0,480,12,11,140000
64,0.0,7,1997,1998,573.0,739,1057,977,2034,2,0,645,576,36,219500
65,76.0,8,2004,2005,344.0,0,1143,1330,2473,2,1,852,192,151,317000
66,0.0,7,1970,1989,287.0,912,1947,0,2207,2,1,576,301,0,180000
67,72.0,7,2003,2003,167.0,1013,1453,0,1479,2,0,558,144,29,226000
68,47.0,4,1945,1950,0.0,0,747,0,747,1,0,220,0,0,80000
69,81.0,7,1953,1953,0.0,603,1304,983,2287,2,1,667,0,21,225000
70,95.0,7,1973,1973,1115.0,1880,2223,0,2223,2,2,516,300,0,244000
71,69.0,4,1982,2006,0.0,565,845,0,845,1,0,360,0,0,129500
72,74.0,7,1998,1998,40.0,0,832,833,1718,2,1,427,0,94,185000
73,85.0,5,1954,2003,104.0,320,1086,0,1086,1,0,490,0,0,144900
74,60.0,3,1915,1950,0.0,0,840,765,1605,2,0,379,0,0,107400
75,21.0,4,1973,1973,0.0,462,462,462,988,1,0,297,120,101,91000
76,0.0,4,1956,1956,0.0,228,952,0,952,1,0,283,0,0,135750
77,50.0,5,1948,2001,0.0,336,672,213,1285,1,0,240,0,0,127000
78,72.0,4,1968,1968,0.0,0,1768,0,1768,2,0,0,0,0,136500
79,60.0,5,1910,1981,0.0,0,440,548,1230,1,0,440,74,0,110000
80,100.0,6,1968,1968,576.0,448,896,960,2142,2,1,509,0,72,193500
81,32.0,6,1998,1998,443.0,1201,1237,0,1337,2,0,405,0,199,153500
82,78.0,8,2007,2007,468.0,33,1563,0,1563,2,1,758,144,99,245000
83,80.0,5,1960,1960,66.0,0,1065,0,1065,1,0,461,74,0,126500
84,0.0,7,1995,1996,22.0,0,384,670,1474,2,1,400,120,72,168500
85,121.0,8,1991,1992,284.0,0,1288,1116,2417,2,1,462,127,82,260000
86,122.0,6,2005,2005,0.0,0,684,876,1560,2,1,400,100,38,174000
87,40.0,6,2009,2009,76.0,0,612,612,1224,2,0,528,0,234,164500
88,105.0,3,1915,1982,0.0,0,1013,0,1526,1,0,0,0,0,85000
89,60.0,4,1994,1995,0.0,588,990,0,990,1,0,0,0,0,123600
90,60.0,4,1950,1950,0.0,0,0,0,1040,1,0,420,0,29,109900
91,85.0,5,1961,1961,203.0,600,1235,0,1235,1,0,480,0,0,98600
92,80.0,5,1921,2006,0.0,713,876,0,964,1,0,432,0,0,163500
93,60.0,6,1910,1998,0.0,1046,1214,1031,2291,2,1,506,0,0,133900
94,69.0,6,1997,1997,0.0,648,824,881,1786,2,0,684,0,162,204750
95,0.0,6,1993,1993,68.0,310,680,790,1470,2,1,420,232,63,185000
96,78.0,7,1999,1999,183.0,1162,1588,0,1588,2,0,472,158,29,214000
97,73.0,4,1965,1965,48.0,520,960,0,960,1,0,432,120,0,94750
98,85.0,5,1920,1950,0.0,108,458,0,835,1,0,366,0,0,83000
99,77.0,4,1959,1959,0.0,569,950,0,1225,1,0,0,352,0,128950
100,0.0,6,1977,2001,28.0,1200,1610,0,1610,2,2,480,168,68,205000
101,77.0,6,1985,1985,336.0,0,741,755,1732,2,1,476,192,46,178000
102,64.0,5,1979,1979,0.0,0,0,0,1535,2,0,410,0,0,118964
103,94.0,7,2009,2009,0.0,0,1226,0,1226,2,0,740,0,36,198900
104,0.0,7,1931,1950,600.0,224,1040,592,1818,1,2,240,0,0,169500
105,75.0,8,2003,2004,768.0,0,1053,939,1992,2,1,648,140,45,250000
106,60.0,4,1885,1995,0.0,0,641,0,1047,1,0,273,0,0,100000
107,50.0,5,1948,1950,0.0,104,789,0,789,1,0,250,0,0,115000
108,85.0,5,1919,2005,0.0,0,793,520,1517,2,0,0,0,0,115000
109,105.0,6,1977,1977,480.0,705,1844,0,1844,2,1,546,0,122,190000
110,75.0,6,1954,1972,0.0,444,994,639,1855,2,0,325,182,0,136900
111,0.0,7,2000,2000,0.0,250,384,656,1430,2,1,400,180,0,180000
112,77.0,7,2007,2007,220.0,984,1264,1414,2696,2,1,792,120,184,383970
113,0.0,6,1953,1953,184.0,35,1809,0,2259,2,2,450,166,120,217000
114,61.0,6,1945,2002,0.0,774,1028,884,2320,2,1,180,224,0,259500
115,34.0,6,1999,1999,1129.0,419,729,729,1458,2,1,440,0,32,176000
116,0.0,5,1962,1962,116.0,170,1092,0,1092,1,1,288,0,20,139000
117,74.0,5,2006,2007,0.0,0,1125,0,1125,1,0,430,80,64,155000
118,90.0,7,1990,1990,0.0,1470,1673,1523,3222,3,2,594,367,0,320000
119,65.0,6,2005,2006,0.0,0,728,728,1456,2,1,390,0,24,163990
120,0.0,6,1969,1969,0.0,938,938,0,988,1,2,540,0,130,180000
121,50.0,4,1939,1950,0.0,0,732,351,1123,1,0,264,0,0,100000
122,75.0,6,1958,1958,135.0,570,1080,0,1080,1,0,288,0,0,136000
123,55.0,6,1993,1993,0.0,300,1199,0,1199,2,0,530,0,63,153900
124,48.0,6,1979,1998,0.0,0,1362,0,1586,2,1,435,192,0,181000
125,60.0,6,1935,1982,0.0,490,520,0,754,1,0,0,53,0,84500
